route,calendar_week,residual_weight,LetterReceived,TreatmentOngoing,TreatmentCompleted,treatment
101,-15,9.3999996,0,0,0,0
101,-14,9.5,0,0,0,0
101,-13,9,0,0,0,0
101,-12,9.3000002,0,0,0,0
101,-11,9.3999996,0,0,0,0
101,-10,9.3000002,0,0,0,0
101,-9,8.8999996,0,0,0,0
101,-8,9.8000002,0,0,0,0
101,-7,9.3000002,0,0,0,0
101,-6,9.3999996,0,0,0,0
101,-5,8.6000004,1,0,0,1
101,-4,8.3000002,1,0,0,1
101,-3,7.6999998,0,1,0,1
101,-2,8.3000002,0,1,0,1
101,-1,7.5999999,0,1,0,1
101,0,8.3000002,0,1,0,1
101,1,8.5,0,1,0,1
101,2,10.26,0,1,0,1
101,3,7.46,0,0,1,1
101,4,7.3000002,0,0,1,1
101,5,7.3400002,0,0,1,1
101,6,7.5999999,0,0,1,1
101,7,7.8600001,0,0,1,1
101,8,7.4200001,0,0,1,1
101,9,8.1199999,0,0,1,1
101,10,8.0799999,0,0,1,1
101,11,8.4399996,0,0,1,1
101,12,8.4200001,0,0,1,1
101,13,8.46,0,0,1,1
101,14,8.1999998,0,0,1,1
101,15,,0,0,1,1
101,16,13.34,0,0,1,1
101,17,8.9200001,0,0,1,1
101,18,,0,0,1,1
101,19,11.12,0,0,1,1
101,20,7.7399998,0,0,1,1
101,21,8.8000002,0,0,1,1
101,22,,0,0,1,1
101,23,11.08,0,0,1,1
101,24,8.5600004,0,0,1,1
101,25,8.4799995,0,0,1,1
101,26,9.3199997,0,0,1,1
101,27,8.96,0,0,1,1
101,28,8.8400002,0,0,1,1
101,29,8.3800001,0,0,1,1
101,30,8.6199999,0,0,1,1
101,31,7.3800001,0,0,1,1
101,32,8.9799995,0,0,1,1
101,33,7.3400002,0,0,1,1
101,34,7.8200002,0,0,1,1
101,35,7.6799998,0,0,1,1
101,36,9.1400003,0,0,1,1
102,-15,11.3,0,0,0,0
102,-14,9.5,0,0,0,0
102,-13,10.4,0,0,0,0
102,-12,8.8999996,0,0,0,0
102,-11,10.2,0,0,0,0
102,-10,9.6999998,0,0,0,0
102,-9,9.6999998,0,0,0,0
102,-8,10,0,0,0,0
102,-7,10.3,0,0,0,0
102,-6,11.4,0,0,0,0
102,-5,10,0,0,0,0
102,-4,9.6000004,0,0,0,0
102,-3,8.8999996,0,0,0,0
102,-2,9,0,0,0,0
102,-1,9.1999998,0,0,0,0
102,0,8.5,0,0,0,0
102,1,7.0999999,0,0,0,0
102,2,11.5,0,0,0,0
102,3,8.8999996,0,0,0,0
102,4,9.1000004,0,0,0,0
102,5,8.7600002,0,0,0,0
102,6,8.1000004,0,0,0,0
102,7,9.4399996,0,0,0,0
102,8,8.1800003,0,0,0,0
102,9,9.3800001,0,0,0,0
102,10,9.0200005,0,0,0,0
102,11,9.6999998,0,0,0,0
102,12,8.7600002,0,0,0,0
102,13,9.1199999,0,0,0,0
102,14,8.3000002,0,0,0,0
102,15,4.8000002,0,0,0,0
102,16,13.8,0,0,0,0
102,17,9.6800003,0,0,0,0
102,18,4.4200001,0,0,0,0
102,19,14.66,0,0,0,0
102,20,10.18,0,0,0,0
102,21,11.08,0,0,0,0
102,22,5.6199999,1,0,0,1
102,23,,1,0,0,1
102,24,7.5599999,1,0,0,1
102,25,9.1999998,0,1,0,1
102,26,9.0799999,0,1,0,1
102,27,8.8199997,0,1,0,1
102,28,7.98,0,1,0,1
102,29,8.2200003,0,0,1,1
102,30,7.9400001,0,0,1,1
102,31,7.2399998,0,0,1,1
102,32,7.48,0,0,1,1
102,33,7.9200001,0,0,1,1
102,34,7.98,0,0,1,1
102,35,6.7399998,0,0,1,1
102,36,7.3400002,0,0,1,1
103,-15,6.4000001,0,0,0,0
103,-14,6.4000001,0,0,0,0
103,-13,6.9000001,0,0,0,0
103,-12,7.6999998,0,0,0,0
103,-11,10.1,0,0,0,0
103,-10,7.5999999,0,0,0,0
103,-9,6.3000002,0,0,0,0
103,-8,7.4000001,0,0,0,0
103,-7,7,0,0,0,0
103,-6,7.5,0,0,0,0
103,-5,8.3999996,0,0,0,0
103,-4,6.9000001,0,0,0,0
103,-3,6.1999998,0,0,0,0
103,-2,,0,0,0,0
103,-1,6.3000002,0,0,0,0
103,0,5.4000001,0,0,0,0
103,1,6.9000001,0,0,0,0
103,2,6.9200001,0,0,0,0
103,3,6.1999998,0,0,0,0
103,4,6.2199998,0,0,0,0
103,5,5.5599999,0,0,0,0
103,6,5.0799999,0,0,0,0
103,7,6.04,0,0,0,0
103,8,5.5799999,0,0,0,0
103,9,6.6599998,0,0,0,0
103,10,6.1799998,0,0,0,0
103,11,6.4000001,0,0,0,0
103,12,7.6799998,0,0,0,0
103,13,6.3600001,0,0,0,0
